title;link;salary;url
Senior Python developer;https://spb.hh.ru/vacancy/46911211?from=vacancy_search_list&query=Python;[None, 5500, 'USD'];https://hh.ru
Middle/Senior Python developer;https://spb.hh.ru/vacancy/47292280?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Junior Python разработчик;https://spb.hh.ru/vacancy/46770125?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Senior Python Backend Engineer;https://spb.hh.ru/vacancy/47354264?from=vacancy_search_list&query=Python;[506268, 666792, 'руб.'];https://hh.ru
Python-разработчик (Django, DRF);https://spb.hh.ru/vacancy/39736489?from=vacancy_search_list&query=Python;[60000, 150000, 'руб.'];https://hh.ru
Программист Python;https://spb.hh.ru/vacancy/47306742?from=vacancy_search_list&query=Python;[80000, 170000, 'руб.'];https://hh.ru
Разработчик Python;https://spb.hh.ru/vacancy/46100136?from=vacancy_search_list&query=Python;[130000, 200000, 'руб.'];https://hh.ru
Разработчик Python;https://spb.hh.ru/vacancy/46599828?from=vacancy_search_list&query=Python;[60000, None, 'руб.'];https://hh.ru
Backend developer (Python);https://spb.hh.ru/vacancy/47125059?from=vacancy_search_list&query=Python;[100000, None, 'руб.'];https://hh.ru
Разработчик-Python (Django, DRF);https://spb.hh.ru/vacancy/43242292?from=vacancy_search_list&query=Python;[170000, 220000, 'руб.'];https://hh.ru
Python-developer;https://spb.hh.ru/vacancy/47194187?from=vacancy_search_list&query=Python;[1000, 2000, 'USD'];https://hh.ru
Middle/Senior Python разработчик проектов Data Science;https://spb.hh.ru/vacancy/47223803?from=vacancy_search_list&query=Python;[200000, 250000, 'руб.'];https://hh.ru
Middle Python Django developer;https://spb.hh.ru/vacancy/46930931?from=vacancy_search_list&query=Python;[110000, 180000, 'руб.'];https://hh.ru
Python-разработчик;https://spb.hh.ru/vacancy/45835956?from=vacancy_search_list&query=Python;[200000, None, 'руб.'];https://hh.ru
Python developer;https://spb.hh.ru/vacancy/47366036?from=vacancy_search_list&query=Python;[180000, None, 'руб.'];https://hh.ru
Python Developer;https://spb.hh.ru/vacancy/46660773?from=vacancy_search_list&query=Python;[200000, 350000, 'руб.'];https://hh.ru
Senior Python Developer;https://spb.hh.ru/vacancy/47163840?from=vacancy_search_list&query=Python;[400000, None, 'руб.'];https://hh.ru
Python-разработчик (Middle+);https://spb.hh.ru/vacancy/46772049?from=vacancy_search_list&query=Python;[150000, 250000, 'руб.'];https://hh.ru
Разработчик Python (Senior, Principal);https://spb.hh.ru/vacancy/44522651?from=vacancy_search_list&query=Python;[200000, 350000, 'руб.'];https://hh.ru
Разработчик Python (Middle);https://spb.hh.ru/vacancy/46144215?from=vacancy_search_list&query=Python;[110000, 180000, 'руб.'];https://hh.ru
Python Developer;https://spb.hh.ru/vacancy/45607105?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Python/Django Web Developer (Remote);https://spb.hh.ru/vacancy/47112933?from=vacancy_search_list&query=Python;[4000, 6000, 'USD'];https://hh.ru
Разработчик Python;https://spb.hh.ru/vacancy/47337338?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Data Engineer (Python);https://spb.hh.ru/vacancy/44310016?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Middle/Senior Python разработчик проектов Data Science;https://spb.hh.ru/vacancy/47223802?from=vacancy_search_list&query=Python;[200000, 250000, 'руб.'];https://hh.ru
Python Middle Developer;https://spb.hh.ru/vacancy/45357150?from=vacancy_search_list&query=Python;[120000, 180000, 'руб.'];https://hh.ru
Python Developer;https://spb.hh.ru/vacancy/46708632?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Python senior/middle;https://spb.hh.ru/vacancy/46992493?from=vacancy_search_list&query=Python;[160000, 200000, 'руб.'];https://hh.ru
Python Developer;https://spb.hh.ru/vacancy/46708631?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Python Developer;https://spb.hh.ru/vacancy/45867089?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Программист Python (удаленно);https://spb.hh.ru/vacancy/45864751?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Python Developer/Data Engineer;https://spb.hh.ru/vacancy/46955353?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Разработчик Python / Программист Python;https://spb.hh.ru/vacancy/46745174?from=vacancy_search_list&query=Python;[60000, None, 'руб.'];https://hh.ru
Python Django разработчик, удаленно;https://spb.hh.ru/vacancy/46666510?from=vacancy_search_list&query=Python;[150000, 200000, 'руб.'];https://hh.ru
Аналитик-разработчик Python/ удаленно;https://spb.hh.ru/vacancy/47336710?from=vacancy_search_list&query=Python;[None, None, None];https://hh.ru
Middle Python разработчик;https://spb.hh.ru/vacancy/46091871?from=vacancy_search_list&query=Python;[90000, 130000, 'руб.'];https://hh.ru
Python developer удаленно;https://spb.hh.ru/vacancy/44476355?from=vacancy_search_list&query=Python;[180000, 230000, 'руб.'];https://hh.ru
Backend-разработчик Python + Django (Middle/Senior);https://spb.hh.ru/vacancy/47337736?from=vacancy_search_list&query=Python;[160000, 220000, 'руб.'];https://hh.ru
Middle/Senior Python разработчик для проектов Data Science;https://spb.hh.ru/vacancy/47223799?from=vacancy_search_list&query=Python;[200000, 250000, 'руб.'];https://hh.ru
Python-разработчик;https://spb.hh.ru/vacancy/45835954?from=vacancy_search_list&query=Python;[200000, None, 'руб.'];https://hh.ru
